corruption_mode,fault_tolerant_accuracy,macro_f1,mcc,byzantine_survival_rate,consensus_disagreement,threshold,attack_coverage,false_isolation_rate,response_precision,monitor_rate,hard_isolation_rate,resilience_utility,mttd_proxy,mrt_proxy,tp,fp,fn,tn
none,0.9874740203781619,0.9814146763348759,0.962862131439913,1.0,0.15683436396829695,0.30999999999999994,0.9770948790523988,0.009714804769788761,0.9645909645909646,0.03855629340497795,0.21588685557864856,0.7743850917494804,1.023442064264849,1.009810108054307,41080,1508,963,153719
trust_agent,0.9765803213869316,0.9659128851446674,0.9326581211646301,0.9889681158527508,0.33046484125929637,0.30999999999999994,0.9786884855980782,0.02399067172592397,0.917006529829957,0.5386171237390379,0.22745982663354794,0.754164902441843,1.021775585097334,1.024580371345782,41147,3724,896,151503
graph_agent,0.9391240431895371,0.9039284055743664,0.8121729322015604,0.951036709634033,0.30080196327637676,0.30999999999999994,0.7832457246152749,0.018656548152061175,0.9191648523418746,0.49852993359355197,0.18160896233588483,0.6685713099509115,1.276738536289098,1.0190112321195293,32930,2896,9113,152331
cloud_agent,0.9778628275966949,0.967807981168614,0.9365133060638176,0.9902668904871175,0.2983916663599285,0.30999999999999994,0.9829698166163214,0.023520392715184857,0.918826982080128,0.160723880975313,0.2280022304455822,0.7568697433908339,1.0173252353183149,1.024086926690241,41327,3651,716,151576
temporal_agent,0.9731383383180413,0.9612848520051918,0.9242173586897761,0.9854824716759327,0.31085376611227766,0.30999999999999994,0.9848964155745309,0.03004631926146869,0.8987671470741448,0.16999543772494552,0.23354792923404472,0.7487579927060489,1.015335200927357,1.0309770660786515,41408,4664,635,150563
trust_graph,0.3350382724185127,0.3314855038957121,0.14579057824749395,0.3392881893644218,0.372652412616374,0.30999999999999994,0.9570439787836262,0.8334310397031445,0.2372352719211358,0.1402240583971207,0.8597759416028793,0.26367282371408596,1.0448840619330468,6.003519492574259,40237,129371,1806,25856
edge_temporal,0.9060931717950018,0.877901363397172,0.7813189820098438,0.9175868459283673,0.35350343578512905,0.30999999999999994,0.9984301786266442,0.11891616793470208,0.6945694619101198,0.6619911796015613,0.3063618391037664,0.6567180416701212,1.0015722895871548,1.1349657814693495,41977,18459,66,136768
multi_byzantine,0.21306838343387235,0.17564416511353853,-0.01434877125440751,0.21577112818854305,0.3869177878632432,0.30999999999999994,0.9997383631044406,1.0,0.21308026503226724,5.576113955492472e-05,0.999944238860445,0.2244603561582918,1.0002617053673393,1000000.0,42032,155227,11,0
random_byzantine,0.8074669235058549,0.7638338799595429,0.5745008583557989,0.817709536496594,0.24525907724822985,0.30999999999999994,0.8859500987084652,0.21379012671764577,0.5288355055796916,0.27284939423125665,0.357043645764688,0.5196329333564077,1.1287317439862543,1.2719250088085152,37248,33186,4795,122041
